esto_flow_code,esto_flow_name,esto_flow,measured_in_dashboard,treatment,notes
16.01,Commercial and public services,16.01 Commercial and public services,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.01.01,Datacentres,16.01.01 Datacentres,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.01.99,Commercial and public services unallocated,16.01.99 Commercial and public services unallocated,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.02,Residential,16.02 Residential,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.03,Agriculture,16.03 Agriculture,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.04,Fishing,16.04 Fishing,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
16.05,Non-specified others,16.05 Non-specified others,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
17,Non-energy use,17 Non-energy use,FALSE,non_energy_use,Non-energy use is feedstock/material use rather than combustion; its carbon accounting requires a separate method.
17.01,Transformation sector,17.01 Transformation sector,FALSE,non_energy_use,Non-energy use is feedstock/material use rather than combustion; its carbon accounting requires a separate method.
17.02,Industry sector,17.02 Industry sector,FALSE,non_energy_use,Non-energy use is feedstock/material use rather than combustion; its carbon accounting requires a separate method.
17.03,Transport sector,17.03 Transport sector,FALSE,non_energy_use,Non-energy use is feedstock/material use rather than combustion; its carbon accounting requires a separate method.
17.04,Other sector,17.04 Other sector,FALSE,non_energy_use,Non-energy use is feedstock/material use rather than combustion; its carbon accounting requires a separate method.
18,Electricity output in GWh,18 Electricity output in GWh,FALSE,output_measure,"Electricity output in GWh is an output measure, not fuel consumption, and would duplicate generation inputs."
18.01,MAP electricity plants,18.01 MAP electricity plants,FALSE,output_measure,"Electricity output in GWh is an output measure, not fuel consumption, and would duplicate generation inputs."
18.02,MAP CHP plants,18.02 MAP CHP plants,FALSE,output_measure,"Electricity output in GWh is an output measure, not fuel consumption, and would duplicate generation inputs."
18.03,AP electricity plants,18.03 AP electricity plants,FALSE,output_measure,"Electricity output in GWh is an output measure, not fuel consumption, and would duplicate generation inputs."
18.04,AP CHP plants,18.04 AP CHP plants,FALSE,output_measure,"Electricity output in GWh is an output measure, not fuel consumption, and would duplicate generation inputs."
19,Heat output in PJ,19 Heat output in PJ,FALSE,output_measure,"Heat output in PJ is an output measure, not fuel consumption, and would duplicate generation inputs."
19.01,MAP CHP plants,19.01 MAP CHP plants,FALSE,output_measure,"Heat output in PJ is an output measure, not fuel consumption, and would duplicate generation inputs."
19.02,MAP heat plants,19.02 MAP heat plants,FALSE,output_measure,"Heat output in PJ is an output measure, not fuel consumption, and would duplicate generation inputs."
19.03,AP CHP plants,19.03 AP CHP plants,FALSE,output_measure,"Heat output in PJ is an output measure, not fuel consumption, and would duplicate generation inputs."
19.04,AP heat plants,19.04 AP heat plants,FALSE,output_measure,"Heat output in PJ is an output measure, not fuel consumption, and would duplicate generation inputs."
