sheet_name,fuel_label,sector_code_9th,projection_sector_code,ninth_fuel_code,esto_flow,esto_product,mapping_note,active
heat_out_feed,Coal Bituminous,18_02_chp_plants,18_02_01_coal,01_x_thermal_coal,18.02 MAP CHP plants,01.04 Anthracite,Explicit aggregate override for transformation heat coal outputs-by-feedstock across CHP mappings.,TRUE
hydrogen_inputs,Green electricity,09_13_hydrogen_transformation,09_13_01_electrolysers,17_x_green_electricity,09.12 Non-specified transformation,17 Electricity,Explicit override for electrolyser electricity inputs using ESTO non-specified transformation electricity as the base-year proxy.,TRUE
hydrogen_inputs,Natural gas,09_13_hydrogen_transformation,09_13_02_smr_wo_ccs,08_01_natural_gas,09.12 Non-specified transformation,08.01 Natural gas,Explicit aggregate override for hydrogen natural gas inputs across SMR pathways using ESTO non-specified transformation gas inputs.,TRUE
hydrogen_inputs,Natural gas,09_13_hydrogen_transformation,09_13_03_smr_w_ccs,08_01_natural_gas,09.12 Non-specified transformation,08.01 Natural gas,Explicit aggregate override for hydrogen natural gas inputs across SMR pathways using ESTO non-specified transformation gas inputs.,TRUE
hydrogen_out_feed,Green electricity,09_13_hydrogen_transformation,09_13_01_electrolysers,16_x_hydrogen,,,Projection-only explicit override for electrolyser hydrogen outputs; ESTO has no auditable base analogue. [allow_missing_base],TRUE
hydrogen_out_feed,Natural gas,09_13_hydrogen_transformation,09_13_02_smr_wo_ccs,16_x_hydrogen,,,Projection-only explicit override for SMR hydrogen outputs; ESTO has no auditable base analogue. [allow_missing_base],TRUE
hydrogen_out_feed,Natural gas,09_13_hydrogen_transformation,09_13_03_smr_w_ccs,16_x_hydrogen,,,Projection-only explicit override for SMR hydrogen outputs; ESTO has no auditable base analogue. [allow_missing_base],TRUE
imports primary,Coal Bituminous,02_imports,02_imports,01_x_thermal_coal,02 Imports,01.02 Other bituminous coal,Explicit aggregate override for primary coal imports across thermal-coal product mappings.,TRUE
imports primary,Coal Bituminous,02_imports,02_imports,01_x_thermal_coal,02 Imports,01.03 Sub-bituminous coal,Explicit aggregate override for primary coal imports across thermal-coal product mappings.,TRUE
imports primary,Coal Bituminous,02_imports,02_imports,01_x_thermal_coal,02 Imports,01.04 Anthracite,Explicit aggregate override for primary coal imports across thermal-coal product mappings.,TRUE
imports primary,Solar nonspecified,02_imports,02_imports,12_x_other_solar,02 Imports,12.99 Solar nonspecified,Explicit override for primary solar imports mapped to nonspecified solar.,TRUE
production primary,Biomass,01_production,01_production,15_solid_biomass_unallocated,01 Production,15 Solid biomass,Explicit aggregate override for primary biomass production across biomass product mappings.,TRUE
production primary,Biomass,01_production,01_production,15_05_other_biomass,01 Production,15.05 Other biomass,Explicit aggregate override for primary biomass production across biomass product mappings.,TRUE
production primary,Solar,01_production,01_production,12_01_of_which_photovoltaics,01 Production,12.01 of which: Photovoltaics,Explicit aggregate override for primary solar production across solar product mappings.,TRUE
production primary,Solar,01_production,01_production,12_x_other_solar,01 Production,12.99 Solar nonspecified,Explicit aggregate override for primary solar production across solar product mappings.,TRUE
refining_inputs ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.03 Refinery feedstocks,explicit aggregate override,TRUE
refining_inputs ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.04 Additives/  oxygenates,explicit aggregate override,TRUE
refining_inputs ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.05 Other hydrocarbons,explicit aggregate override,TRUE
refining_out_feed ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.03 Refinery feedstocks,explicit aggregate override,TRUE
refining_out_feed ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.04 Additives/  oxygenates,explicit aggregate override,TRUE
refining_out_feed ,Other hydrocarbons,09_07_oil_refineries,09_07_oil_refineries,06_x_other_hydrocarbons,09.07 Oil refineries,06.05 Other hydrocarbons,explicit aggregate override,TRUE
